0,frame,right_elbow_angle,right_shoulder_angle,right_wrist_angle,left_elbow_angle,left_shoulder_angle,left_wrist_angle
1,1,173.9611405607058,11.049065734013668,173.26019041532956,186.83356606793313,12.340251745487308,187.12873399554258
2,2,173.51914831451654,11.278040650661767,173.32582184108958,186.42127214989458,12.10113510804274,187.14493084061746
3,3,173.35607867991519,11.324195691028079,173.14458755170122,185.90398785389624,11.820843189205902,187.40548170288622
4,4,173.17854029082784,11.416980902589671,173.0904009793882,185.47183663645927,11.571454540612308,187.5239234982584
5,5,173.1517882289797,11.433343770975757,173.0180289434674,185.00397895983585,11.277832219641311,187.32850540089123
6,6,173.19366749929384,11.415319558297526,172.95657424907037,184.51240124325776,10.957398413241094,187.26516361677764
7,7,173.3526221398156,11.326697789085184,173.05624004936303,183.99928793800152,10.633236552436472,187.19095068815798
8,8,173.49692975686722,11.20311249214092,173.1707335348296,183.6955116223467,10.494623834436482,187.24427150843138
9,9,173.60487025439858,11.1528962123116,173.1910527794737,183.37417879640222,10.335487694942117,187.40122158761304
10,10,173.6216963547052,11.108048281497194,173.39557458156642,183.28252605268523,10.21107442780658,187.3728800143772
11,11,173.66172031375402,11.058566488284356,173.50198014370687,183.1906007310689,10.159043592341561,187.31451873952406
12,12,173.7954033088111,11.062997497253763,173.45708299835624,182.97402107143756,10.009649868354927,187.34983952548947
13,13,173.82558819218485,11.031393712800128,173.4966607415925,182.88099840655744,9.95522304674256,187.41016356380226
14,14,173.9113492439351,11.008854386767776,173.4122064971694,182.84570194130774,9.937270699066119,187.44038776761082
15,15,173.90699906487268,11.012937638254146,173.38676054589249,182.70151469090806,9.882096100457034,187.50695278854016
16,16,173.9353956980569,11.011624805427992,173.29321422221855,182.69217205981795,9.900116956507816,187.46320253779885
17,17,173.98399054647177,10.982108455678864,173.31225052629497,182.4991470411113,9.904766546720907,187.92607196365924
18,18,174.62992131204828,10.939919119098063,172.68817201741865,182.03318124780517,10.004066138291535,187.3354496753832
19,19,175.134247667406,10.545784112413246,173.26198396028366,180.4459497200417,10.226364900738133,185.93555024646056
20,20,175.7789766976117,10.622362775888963,176.23746493034798,177.66689744324415,10.624311240318377,185.5558860044822
21,21,182.42139658470745,19.039386980205887,180.25687634559998,171.26126391575235,19.227825436010335,186.10453890161526
22,22,184.3292725257983,23.443052624733507,182.14566282816492,174.24940294685345,26.093718852659038,187.3580369341337
23,23,187.80304220886885,27.260863157114464,177.82762244372265,176.37241474154715,32.2979232312893,183.13108177850708
24,24,189.15046586561095,32.82773104150619,177.08286061771489,177.77403836966886,38.02132752371841,179.04498501412272
25,25,188.72069468732596,38.64995224133541,175.27189334094683,178.0365528257827,45.092583224522286,176.0334488391677
26,26,189.36177531102467,44.57550916698846,177.05234690978676,172.0716852562212,51.00224576641148,192.56124573952553
27,27,185.27655117891945,74.79553266091722,170.01109166106014,173.2308293297149,80.16915440789745,180.50340031786405
28,28,183.01657561426035,82.8706589561772,174.7620036594036,179.20272760500035,89.98120415418475,174.690931431929
29,29,180.64149529676922,90.20537063053429,172.823655677232,179.93916045131382,97.19201141169219,178.22155124630348
30,30,185.34965578258326,94.34500817605236,175.45379403783824,178.14201212896862,100.8420296757497,184.19505546445544
31,31,187.5109390011287,97.6216652482803,176.12219825201547,181.22533716096592,105.72440232307045,183.1017520212922
32,32,186.38364690961555,100.6181795152425,172.3101972857168,181.1267405231668,107.54275266254552,178.2338734712184
33,33,184.26810856725612,104.2748364334995,171.3199270118451,177.71654974650218,109.24186004967194,180.7762691439191
34,34,184.64394501058302,103.19145326643951,172.0032706280823,176.27584004115013,108.71492278331175,184.01562324710423
35,35,184.59134297540555,102.27760307055848,172.47939698424415,176.8259429409086,108.5177739088366,183.01494353482644
36,36,186.10365210113565,100.64425730008321,174.85876719265457,177.1714477821524,107.9827254318248,178.90759092618234
37,37,187.28390206636755,99.3448663663927,173.38169319264603,177.1146938839132,107.55757720847512,178.98739502240605
38,38,187.01464287067287,98.95780220458835,175.1010899342124,178.0533083908758,107.74988464434472,180.31910386130141
39,39,187.68088873915235,98.36834085904599,175.96192806233358,176.8374772762893,107.83739541037153,180.3130209658849
40,40,188.24112934091602,98.24792594811629,174.32434933277057,176.54644263164357,107.88492497327036,180.56719439990312
41,41,188.25839614132474,98.06045780851616,174.2044002098328,176.89855392012416,107.98465352469782,180.5904864157132
42,42,188.53652845893475,97.88114655777736,174.42037037465872,177.36785631503847,107.89494294074001,181.3240777102373
43,43,188.4033883421025,97.6119976117131,175.06167517983067,178.0603541811435,107.44374944210455,177.7589272048361
44,44,179.14221994733614,91.70344803862257,173.85745869071954,182.79969039440863,100.88118641089818,171.12952891046137
45,45,184.57357341658428,82.9339299181212,172.92237444308293,179.93293621671594,90.74052578604494,169.20211862447476
46,46,181.62780534291159,78.88793855123303,167.5270991187059,173.86808485293548,81.56880403229405,181.29912119905572
47,47,179.21403393397537,71.64806845710716,173.5830493228546,178.02017152235538,76.13130022901868,187.05986444879005
48,48,184.84451391329415,61.604343583479555,176.81090251178958,179.89974429460196,68.76607746382842,189.16117206046596
49,49,186.45777034951286,53.701229922955015,178.22651119603114,175.9915193324118,59.3217597008545,194.89494479375918
50,50,188.70619242327876,46.15305645544593,178.39111684417995,179.21816702835488,50.864956129716234,191.45346420419457
51,51,182.52347591029508,26.86395505408425,180.3783663839258,177.5942319363948,24.693108474980875,184.3032558159219
52,52,181.52922409249226,22.09551041395374,176.21773646817076,177.64371908836182,20.381676415801167,180.87983265451604
53,53,179.23002082378645,19.206001679354614,178.94962532574436,177.74486757755955,17.30848504198042,187.44934543895036
54,54,176.89812067989786,15.692836724070203,180.42575200513258,179.8851120262042,14.945829306516885,185.56188387544768
55,55,175.80546829980656,12.361688632053365,174.5733027292652,179.11565605361818,12.088946499923452,186.74304333908225
56,56,175.15817292084478,9.238276387312174,175.75987790783097,179.82743921421252,10.286918673304172,185.9154803114905
57,57,177.39563251540028,9.493867575474951,175.70550542983108,179.84287998245762,8.969454183575294,187.40595905416671
58,58,177.39572282454318,9.705659294259098,175.6605217051617,180.5248755221501,9.358660508500918,186.92685064565197
59,59,177.86558916194534,9.494296935636324,175.80762815194083,180.49777219182084,9.463215409272038,187.79148398456405
60,60,177.64663104288363,9.376819034692758,175.19336855608532,179.948536047345,9.103573282209368,187.31242051604062
61,61,176.4909754001879,9.24744217879671,177.32398828934737,179.7127685640857,8.651765137199618,187.7116922920036
62,62,176.54243626080714,9.09056813319401,176.16839612907933,180.33739809702612,8.68986240549134,186.1382173714561
63,63,177.1695222878422,8.982962588019712,176.4394769033674,179.4644065927441,8.605216773486802,187.51721695424388
64,64,176.78745938305934,9.083153470271428,176.28792230950248,179.4438806609989,8.708839824342704,187.66779976908708
65,65,176.58103740129536,9.280879750721407,175.24689135852543,179.48586743792336,8.716345976914738,188.2004279209415
66,66,176.44524728380856,9.316614495919657,175.37032664757203,179.86951324887784,8.74482846281046,187.31756597086118
67,67,177.04698148058384,9.294714802990807,174.63435084142213,180.14261905375045,8.793227270544776,187.5739413116926
68,68,177.45563318813822,9.353132262004092,175.11571862545287,180.48987505772536,9.077392936521562,187.2415357309424
69,69,177.40821074463227,9.53272277639564,176.42418885338577,177.93340810016852,9.261214314781284,186.0919868381246
70,70,177.99886746711874,11.47645204239485,180.21766653693118,175.94089883826638,10.54260086115795,185.4988275370653
71,71,180.53983773880813,13.99101071398143,180.32309532394277,174.69760838283275,12.580519393200461,186.33507312336647
72,72,179.4173148246415,17.769391181756127,181.2686601716839,173.7391294399488,15.217622034080819,186.6660054205145
73,73,181.509959395265,20.85568342309048,178.29548132423224,173.4954761273757,18.52478314547176,183.19553106342642
74,74,183.64914392145067,23.65208884884136,180.73953652933616,171.16492121243354,21.153859891377977,184.55969114883555
75,75,187.67804279978813,40.243724298451376,175.48425502198296,175.07339206303507,41.34332097236535,181.8409273487885
76,76,188.14940611319952,47.133998563928095,174.54414518800706,171.4545992083868,48.43293684348174,189.36916295039018
77,77,185.69047078337618,54.11468729292596,175.63909443396503,171.9476298829153,55.539886181440636,193.1213062190745
78,78,184.6675055984268,60.59968097247601,175.40333631535668,177.15776314174255,64.39750872509978,189.79494595299693
79,79,183.24102666553156,66.33344433197477,175.9458017924043,179.42135529042463,71.2528265248028,189.83236288231998
